fold,config,auroc_TWF,auroc_OSF,wear_r2,learned_sigma2_fault,learned_sigma2_wear
0,joint_fixed,0.9098497495826376,0.9371838111298483,0.8786779642105103,,
0,single_task_fault,0.9223706176961604,0.9351361117802939,,,
0,single_task_wear,,,0.8804752230644226,,
0,joint_dynamic,0.929465776293823,0.9374849433871357,0.8130970597267151,0.0355253703892231,0.12388027459383011
1,joint_fixed,0.9600781686208822,0.9313973063973063,0.8828260898590088,,
1,single_task_fault,0.9551926298157454,0.9339225589225589,,,
1,single_task_wear,,,0.8717248439788818,,
1,joint_dynamic,0.9596594081518706,0.9365179573512907,0.8767643570899963,0.04073389247059822,0.12925761938095093
2,joint_fixed,0.957286432160804,0.9019498087508163,0.850199818611145,,
2,single_task_fault,0.9515633724176438,0.9187424200018658,,,
2,single_task_wear,,,0.8730693459510803,,
2,joint_dynamic,0.9563093243997767,0.9090400223901483,0.8704773187637329,0.1160050705075264,0.1896858513355255
3,joint_fixed,0.9859897018321159,0.9239381153305204,0.8851819038391113,,
3,single_task_fault,0.9734163573224763,0.9326582278481013,,,
3,single_task_wear,,,0.8732855319976807,,
3,joint_dynamic,0.9637169201293257,0.9282137834036568,0.8781461119651794,0.040515702217817307,0.12849976122379303
4,joint_fixed,0.9698492462311558,0.9363618689650702,0.8749815821647644,,
4,single_task_fault,0.9669179229480738,0.9342881213142376,,,
4,single_task_wear,,,0.8697714805603027,,
4,joint_dynamic,0.97250139586823,0.911930529453697,0.8640656471252441,0.038388874381780624,0.12793762981891632
5,joint_fixed,0.9723849372384936,0.9502928870292887,0.8818007707595825,,
5,single_task_fault,0.9695397489539749,0.9502928870292887,,,
5,single_task_wear,,,0.8625560998916626,,
5,joint_dynamic,0.9697071129707112,0.9494560669456067,0.8777831792831421,0.03560329228639603,0.12590694427490234
6,joint_fixed,0.97245838821698,0.9364630323419223,0.8807406425476074,,
6,single_task_fault,0.9715004191114837,0.9326401101001606,,,
6,single_task_wear,,,0.8750573992729187,,
6,joint_dynamic,0.9718596575260448,0.9362336570074165,0.8699322938919067,0.039485152810811996,0.12770400941371918
7,joint_fixed,0.95581589958159,0.9392419763513513,0.8650551438331604,,
7,single_task_fault,0.9511297071129706,0.9378695101351351,,,
7,single_task_wear,,,0.8595007658004761,,
7,joint_dynamic,0.9521338912133891,0.9341216216216217,0.8543797731399536,0.03790649399161339,0.12616226077079773
