fold,config,seed,auroc_TWF,auroc_OSF,wear_r2
0,causal+gap (original baseline),42,0.924457429048414,0.880570946759817,0.6483149528503418
0,causal+gap (original baseline),123,0.9073455759599333,0.9415201156347868,0.7814124822616577
0,causal+gap (original baseline),2024,0.9169449081803005,0.9443507588532883,0.757459819316864
0,causal+last (final configuration),42,0.9307178631051752,0.9382678872560828,0.8725544810295105
0,causal+last (final configuration),123,0.9311352253756261,0.942543965309564,0.8816222548484802
0,causal+last (final configuration),2024,0.922787979966611,0.9307395808238978,0.8708281517028809
0,bidirectional+gap,42,0.9340567612687812,0.934895205974464,0.8559550046920776
0,bidirectional+gap,123,0.9190317195325542,0.9490484220669719,0.8534308671951294
0,bidirectional+gap,2024,0.9411519198664441,0.9389303782221151,0.8578730821609497
1,causal+gap (original baseline),42,0.9074539363484087,0.8972362514029181,0.7524856925010681
1,causal+gap (original baseline),123,0.9066164154103853,0.9133698092031425,0.7945520281791687
1,causal+gap (original baseline),2024,0.9303461753210497,0.9044612794612795,0.7886499166488647
1,causal+last (final configuration),42,0.9465382467895032,0.946969696969697,0.8685020208358765
1,causal+last (final configuration),123,0.9550530429927413,0.9219977553310886,0.8736629486083984
1,causal+last (final configuration),2024,0.9586823003908431,0.9345538720538721,0.8669382929801941
1,bidirectional+gap,42,0.9628699050809604,0.9351851851851851,0.8601205945014954
1,bidirectional+gap,123,0.9644053601340034,0.9337822671156004,0.8242931962013245
1,bidirectional+gap,2024,0.9595198213288666,0.9320286195286196,0.8580604791641235
2,causal+gap (original baseline),42,0.9343941931881631,0.8703237242280063,0.7711830735206604
2,causal+gap (original baseline),123,0.9022892238972642,0.8821718443884691,0.7745348215103149
2,causal+gap (original baseline),2024,0.9433277498604132,0.885437074353951,0.76090407371521
2,causal+last (final configuration),42,0.8250977107761027,0.8766675995895139,0.8196160793304443
2,causal+last (final configuration),123,0.9564489112227806,0.9098796529527009,0.8692436814308167
2,causal+last (final configuration),2024,0.9560301507537688,0.8764810150200578,0.8630833029747009
2,bidirectional+gap,42,0.9529592406476829,0.9068942998414031,0.833438515663147
2,bidirectional+gap,123,0.9567280848687885,0.9040955312995616,0.8456773161888123
2,bidirectional+gap,2024,0.9600781686208821,0.9052150387162982,0.8340665698051453
3,causal+gap (original baseline),42,0.9453957609867082,0.9054289732770745,0.802833080291748
3,causal+gap (original baseline),123,0.8862411687223087,0.9031786216596344,0.6929206848144531
3,causal+gap (original baseline),2024,0.8927074601844089,0.8909142053445851,0.6822929382324219
3,causal+last (final configuration),42,0.9778469644353969,0.9275386779184247,0.8780499696731567
3,causal+last (final configuration),123,0.9789246796790805,0.9200562587904361,0.881354808807373
3,causal+last (final configuration),2024,0.9785654412645192,0.9277074542897328,0.8794770240783691
3,bidirectional+gap,42,0.9802418871991379,0.9227004219409283,0.8650872707366943
3,bidirectional+gap,123,0.9780864567117711,0.9228691983122363,0.8804908990859985
3,bidirectional+gap,2024,0.9816788408573823,0.9246132208157524,0.8670068383216858
4,causal+gap (original baseline),42,0.9303461753210498,0.8524398937204329,0.7593976259231567
4,causal+gap (original baseline),123,0.9261585706309325,0.8951461344047698,0.7537941336631775
4,causal+gap (original baseline),2024,0.9517029592406477,0.849977318385069,0.7328125238418579
4,causal+last (final configuration),42,0.9695700725851479,0.9219104400233296,0.8804649710655212
4,causal+last (final configuration),123,0.9704075935231715,0.935195385911477,0.8797112107276917
4,causal+last (final configuration),2024,0.9695700725851479,0.9348713628410343,0.8707112669944763
4,bidirectional+gap,42,0.9699888330541597,0.9352601905255655,0.8436059951782227
4,bidirectional+gap,123,0.966359575656058,0.9374635474045753,0.8406592607498169
4,bidirectional+gap,2024,0.965103294249023,0.9367506966496016,0.8594866991043091
5,causal+gap (original baseline),42,0.9402510460251046,0.9534728033472804,0.8314679265022278
5,causal+gap (original baseline),123,0.9072803347280335,0.9452719665271966,0.8094049096107483
5,causal+gap (original baseline),2024,0.954979079497908,0.9287029288702928,0.8071085810661316
5,causal+last (final configuration),42,0.9730543933054393,0.9494560669456067,0.8868914246559143
5,causal+last (final configuration),123,0.9705439330543933,0.9519665271966528,0.8757365345954895
5,causal+last (final configuration),2024,0.9693723849372385,0.9554811715481171,0.8806260824203491
5,bidirectional+gap,42,0.9757322175732218,0.9467782426778243,0.8467490077018738
5,bidirectional+gap,123,0.9745606694560669,0.9482845188284519,0.8541880249977112
5,bidirectional+gap,2024,0.9753974895397489,0.94744769874477,0.8757345080375671
6,causal+gap (original baseline),42,0.9408454077356004,0.9246884318372965,0.7408890128135681
6,causal+gap (original baseline),123,0.94491677643396,0.9178836302469608,0.7538429498672485
6,causal+gap (original baseline),2024,0.9535384983834272,0.911384662435966,0.7602348327636719
6,causal+last (final configuration),42,0.9730571189079152,0.9320284425414787,0.8853678107261658
6,causal+last (final configuration),123,0.9782062028499581,0.9347809465555471,0.8763769865036011
6,causal+last (final configuration),2024,0.9786851874027063,0.9343221958865356,0.8800029158592224
6,bidirectional+gap,42,0.9744940725661597,0.9340163621071947,0.8647885322570801
6,bidirectional+gap,123,0.9700634654532392,0.933786986772689,0.8524246215820312
6,bidirectional+gap,2024,0.9729373727697281,0.9314167749827968,0.8519937992095947
7,causal+gap (original baseline),42,0.8696234309623432,0.8739970439189189,0.6746527552604675
7,causal+gap (original baseline),123,0.9005857740585774,0.9201330236486487,0.758340060710907
7,causal+gap (original baseline),2024,0.9159832635983264,0.8857157939189189,0.7263517379760742
7,causal+last (final configuration),42,0.9514644351464435,0.9380278716216216,0.8642727732658386
7,causal+last (final configuration),123,0.9509623430962344,0.9372360641891891,0.8717478513717651
7,causal+last (final configuration),2024,0.9497907949790795,0.9387141047297297,0.8633278012275696
7,bidirectional+gap,42,0.9427615062761506,0.8574746621621622,0.8320562839508057
7,bidirectional+gap,123,0.9501255230125524,0.9357580236486487,0.8539074659347534
7,bidirectional+gap,2024,0.9494560669456067,0.9356524493243243,0.816857099533081
