window_length,config,wear_r2
10,causal+gap,0.8407522439956665
10,bidirectional+gap,0.840628981590271
30,causal+gap,0.7740684747695923
30,bidirectional+gap,0.8403921127319336
50,causal+gap,0.7399699687957764
50,bidirectional+gap,0.8431758284568787
100,causal+gap,0.5647929310798645
100,bidirectional+gap,0.7903578281402588
